# Image Name = PBS_13_001_norm_00000, Mask Path = /ibira/lnls/beamlines/sapucaia/proposals/20262585/proc/mask_BSA.npy, Azimuth Min (deg) = -180, Azimuth Max (deg) = 180,  
# X Unit = q_nm^-1, Polarization = None, X Min = 0.06316422205592498, X Max = 5.309234759453786,  
# Error Model = poisson, N Bins = 2000, Norm Factor = 1, Solid Angle = yes,  
# Poni File = None, Samp-Det Dist (m) = 1.44, X Center (px) = 635, Y Center (px) = 2442,  
# X Pixel (μm) = 55, Y Pixel (μm) = 55, Tilt (deg) = 0, Tilt Plan Rot (deg) = 0,  
# Tilt3 (deg) = 0, Wavelength (Å) = 1.549, Spline = None, 
# q	Intensity	std
0.06316422205592498	188814.203125	74.45048522949219
0.06578856949834512	167060.28125	36.62640380859375
0.06841291694076526	157034.0625	28.466867446899414
0.0710372643831854	147472.125	24.67414665222168
0.07366161182560554	137254.46875	21.60369300842285
0.07628595926802569	129439.609375	19.348175048828125
0.07891030671044583	121166.0390625	17.15253448486328
0.08153465415286595	114209.3046875	15.167186737060547
0.08415900159528611	106729.078125	14.129424095153809
0.08678334903770624	101155.328125	13.370393753051758
0.08940769648012639	96328.296875	12.712396621704102
0.09203204392254652	91763.9453125	12.192793846130371
0.09465639136496666	86486.421875	11.618438720703125
0.0972807388073868	81897.0625	11.083998680114746
0.09990508624980694	78768.34375	10.733200073242188
0.10252943369222708	77048.7421875	10.466384887695312
0.10515378113464723	72810.921875	9.979581832885742
0.10777812857706737	68265.1015625	9.478795051574707
0.11040247601948751	66827.46875	9.293855667114258
0.11302682346190765	63557.84375	8.945981979370117
0.11565117090432779	62249.44921875	8.689857482910156
0.11827551834674793	60150.12109375	8.452388763427734
0.12089986578916806	58461.33984375	8.221146583557129
0.12352421323158821	57383.4921875	8.023573875427246
0.12614856067400834	55666.4140625	7.833092212677002
0.1287729081164285	53782.47265625	7.576541423797607
0.13139725555884862	52326.7734375	7.382242679595947
0.13402160300126875	50456.7265625	7.090075492858887
0.1366459504436889	50068.2890625	7.012116432189941
0.13927029788610906	48154.46875	6.7828240394592285
0.1418946453285292	46725.63671875	6.5650434494018555
0.14451899277094932	46566.8359375	6.517988204956055
0.14714334021336947	45630.75390625	6.381649494171143
0.14976768765578963	43932.40625	6.171528339385986
0.15239203509820975	42929.65234375	6.065770149230957
0.15501638254062988	41874.9453125	5.907794952392578
0.15764072998305004	42360.54296875	5.883251190185547
0.1602650774254702	41192.7890625	5.765168190002441
0.16288942486789032	40351.73828125	5.667601585388184
0.16551377231031045	39111.40234375	5.47787618637085
0.1681381197527306	38891.2421875	5.363128662109375
0.17076246719515073	38505.41015625	5.323827266693115
0.17338681463757089	37254.90234375	5.170967102050781
0.176011162079991	36460.2890625	5.038532733917236
0.17863550952241114	37003.59765625	5.085482597351074
0.1812598569648313	36865.66015625	5.016591548919678
0.18388420440725145	36074.26953125	4.916645050048828
0.18650855184967158	34464.57421875	4.774689674377441
0.1891328992920917	35037.8671875	4.842721462249756
0.19175724673451186	34746.984375	4.949292182922363
0.194381594176932	34715.17578125	5.099965572357178
0.19700594161935214	34409.953125	5.3691253662109375
0.19963028906177227	33799.46875	5.664611339569092
0.20225463650419243	31972.51953125	5.719304084777832
0.20487898394661255	32420.14453125	5.771015644073486
0.2075033313890327	32477.6484375	5.467233657836914
0.21012767883145284	31881.37890625	5.206148147583008
0.212752026273873	32059.2109375	5.097630023956299
0.21537637371629312	32204.5859375	4.920816421508789
0.21800072115871327	31323.3046875	4.713525772094727
0.2206250686011334	30463.44140625	4.5722479820251465
0.22324941604355356	30208.333984375	4.4987263679504395
0.22587376348597368	30331.626953125	4.431316375732422
0.22849811092839384	29881.046875	4.320804119110107
0.23112245837081397	30197.201171875	4.318836688995361
0.2337468058132341	30093.935546875	4.239606857299805
0.23637115325565425	29917.466796875	4.161831855773926
0.23899550069807438	29771.05078125	4.123869895935059
0.24161984814049453	29135.86328125	4.024253845214844
0.24424419558291466	29297.79296875	3.9848790168762207
0.2468685430253348	29233.884765625	3.955399751663208
0.24949289046775494	29390.875	3.9566447734832764
0.2521172379101751	28769.97265625	3.8604795932769775
0.2547415853525952	27771.759765625	3.7521212100982666
0.2573659327950154	28488.857421875	3.7953407764434814
0.25999028023743553	28706.607421875	3.7635912895202637
0.26261462767985566	28146.974609375	3.69991397857666
0.2652389751222758	28088.64453125	3.698498249053955
0.2678633225646959	27739.220703125	3.63181734085083
0.27048767000711604	27512.0234375	3.5740842819213867
0.2731120174495362	27348.044921875	3.56650972366333
0.27573636489195635	26918.490234375	3.4922642707824707
0.2783607123343765	27287.51953125	3.467252016067505
0.28098505977679666	27028.064453125	3.42697811126709
0.2836094072192168	27360.044921875	3.4419288635253906
0.2862337546616369	27078.826171875	3.4029030799865723
0.28885810210405705	26514.4453125	3.3618838787078857
0.2914824495464772	26505.41015625	3.3631482124328613
0.2941067969888973	26440.34765625	3.3376827239990234
0.2967311444313175	26143.5703125	3.3076889514923096
0.2993554918737376	25929.029296875	3.2799606323242188
0.3019798393161578	26017.1015625	3.2647762298583984
0.3046041867585779	25967.658203125	3.236804246902466
0.30722853420099805	26213.28515625	3.2430760860443115
0.3098528816434182	26276.845703125	3.2455289363861084
0.3124772290858383	25999.416015625	3.191735029220581
0.31510157652825843	26189.58203125	3.1937646865844727
0.3177259239706786	26288.4296875	3.195115089416504
0.32035027141309874	25944.486328125	3.1404101848602295
0.32297461885551887	25771.392578125	3.1204075813293457
0.325598966297939	25342.111328125	3.0876548290252686
0.3282233137403592	25311.037109375	3.065580368041992
0.3308476611827793	25170.078125	3.0376052856445312
0.33347200862519943	25467.19921875	3.0643057823181152
0.33609635606761956	25716.484375	3.0714051723480225
0.33872070351003974	24897.283203125	2.9861812591552734
0.34134505095245987	25380.15625	3.0139527320861816
0.34396939839488	25303.88671875	3.0095362663269043
0.3465937458373001	24853.2578125	2.961054563522339
0.3492180932797203	25299.97265625	2.987545967102051
0.35184244072214044	25142.447265625	2.9586212635040283
0.35446678816456056	25217.28515625	2.942540407180786
0.3570911356069807	24749.5390625	2.9030165672302246
0.3597154830494008	25060.119140625	2.930316209793091
0.362339830491821	24617.73828125	2.880673885345459
0.36496417793424113	24779.724609375	2.8691234588623047
0.36758852537666126	24764.361328125	2.8691976070404053
0.3702128728190814	24778.37890625	2.8628358840942383
